,Date,Occasion,Top10Gross,PercentChangeTop10,OverallGross,PercentChangeOverall,Releases,Number1Release,Week,Datetime
0,Nov 3-9,,71985061,-52.3%,82438854,-47.4%,61,Five Nights at Freddy's,44,2023-11-03
1,Oct 27-Nov 2,,150771230,+51.6%,156720701,+48%,63,Five Nights at Freddy's,43,2023-10-27
2,Oct 20-26,,99427818,-32.4%,105863573,-31.4%,69,Taylor Swift: The Eras Tour,42,2023-10-20
3,Oct 13-19,,147035022,+61.9%,154209045,+52.2%,61,Taylor Swift: The Eras Tour,41,2023-10-13
4,Oct 6-12,,90807956,-11.2%,101342187,-10.7%,64,The Exorcist: Believer,40,2023-10-06
5,Sep 29-Oct 5,,102262146,+76.7%,113460729,+58.1%,69,PAW Patrol: The Mighty Movie,39,2023-09-29
6,Sep 22-28,,57860456,-23.2%,71746715,-14.3%,66,The Nun II,38,2023-09-22
7,Sep 15-21,,75338001,-30.8%,83715522,-29.1%,56,A Haunting in Venice,37,2023-09-15
8,Sep 8-14,,108822388,-7.7%,118072531,-12.9%,58,The Nun II,36,2023-09-08
9,Sep 1-7,,117897263,+12.3%,135580588,+8.4%,62,The Equalizer 3,35,2023-09-01
10,Aug 25-31,,105022637,-20.6%,125078715,-11%,72,Gran Turismo,34,2023-08-25
11,Aug 18-24,,132230294,-21.3%,140582668,-19.7%,59,Blue Beetle,33,2023-08-18
12,Aug 11-17,,167942868,-37%,175098754,-35.8%,61,Barbie,32,2023-08-11
13,Aug 4-10,,266703622,-20.6%,272735983,-20.7%,57,Barbie,31,2023-08-04
14,Jul 28-Aug 3,,336057419,-31%,343931393,-30.2%,56,Barbie,30,2023-07-28
15,Jul 21-27,,487132062,+140.7%,492417735,+131.8%,55,Barbie,29,2023-07-21
16,Jul 14-20,,202421352,-0.8%,212460101,-4.4%,61,Mission: Impossible - Dead Reckoning Part One,28,2023-07-14
17,Jul 7-13,,203970128,-7.6%,222149431,-5.2%,57,Insidious: The Red Door,27,2023-07-07
18,Jun 30-Jul 6,,220651110,+34.4%,234251373,+38.4%,51,Indiana Jones and the Dial of Destiny,26,2023-06-30
19,Jun 23-29,,164218303,-32.4%,169235719,-31.6%,53,Spider-Man: Across the Spider-Verse,25,2023-06-23
20,Jun 16-22,,243019307,+3.4%,247255128,+3.9%,54,The Flash,24,2023-06-16
21,Jun 9-15,,235053969,-19.2%,237894632,-19%,58,Spider-Man: Across the Spider-Verse,23,2023-06-09
22,Jun 2-8,,290951001,+18.3%,293843593,+17.8%,58,Spider-Man: Across the Spider-Verse,22,2023-06-02
23,May 26-Jun 1,,245921612,+55.9%,249542080,+53.9%,61,The Little Mermaid,21,2023-05-26
24,May 19-25,,157732470,+23.6%,162142869,+19.2%,60,Fast X,20,2023-05-19
25,May 12-18,,127617539,-37.2%,136059404,-35%,61,Guardians of the Galaxy Vol. 3,19,2023-05-12
26,May 5-11,,203241993,+80.7%,209196725,+62.4%,55,Guardians of the Galaxy Vol. 3,18,2023-05-05
27,Apr 28-May 4,,112478818,-26.4%,128833530,-20.7%,63,The Super Mario Bros. Movie,17,2023-04-28
28,Apr 21-27,,152786276,-16.3%,162482822,-13.9%,64,The Super Mario Bros. Movie,16,2023-04-21
29,Apr 14-20,,182489593,-34.4%,188649202,-33.8%,70,The Super Mario Bros. Movie,15,2023-04-14
30,Apr 7-13,,278017421,+51.6%,284947488,+45.7%,68,The Super Mario Bros. Movie,14,2023-04-07
31,Mar 31-Apr 6,,183428574,+24.7%,195611910,+27.3%,71,The Super Mario Bros. Movie,13,2023-03-31
32,Mar 24-30,,147063085,+29.9%,153677362,+27.4%,67,John Wick: Chapter 4,12,2023-03-24
33,Mar 17-23,,113230818,-28.2%,120581335,-27.6%,62,Shazam! Fury of the Gods,11,2023-03-17
34,Mar 10-16,,157731672,+9.4%,166546588,+9.6%,71,Scream VI,10,2023-03-10
35,Mar 3-9,,144237883,+25.9%,151921390,+24.1%,76,Creed III,9,2023-03-03
36,Feb 24-Mar 2,,114530891,-37.7%,122420424,-36.6%,73,Ant-Man and the Wasp: Quantumania,8,2023-02-24
37,Feb 17-23,,183771488,+150.9%,193202452,+136%,65,Ant-Man and the Wasp: Quantumania,7,2023-02-17
38,Feb 10-16,,73245180,-18.6%,81870889,-20.4%,68,Magic Mike's Last Dance,6,2023-02-10
39,Feb 3-9,,89952549,+11.2%,102842049,+8.2%,64,80 for Brady,5,2023-02-03
40,Jan 27-Feb 2,,80874575,-14.9%,95030470,-7.3%,63,Avatar: The Way of Water,4,2023-01-27
41,Jan 20-26,,95033308,-33.2%,102525953,-30.6%,59,Avatar: The Way of Water,3,2023-01-20
42,Jan 13-19,,142235096,+3.3%,147709193,+4.8%,51,Avatar: The Way of Water,2,2023-01-13
43,Jan 6-12,,137624992,-21.2%,140979561,-20.2%,42,Avatar: The Way of Water,1,2023-01-06
